Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
JONZAC;MONTENDRE;;5.1;7.6;;
RUE;ETAPLES LE TOUQUET;;6.4;9.5;;
SURDON;ALENÇON;;6.6;9.8;;
CARENTAN;VALOGNES;;6.6;9.8;;
MANTES-LA-JOLIE;GAILLON-AUBEVOYE;;7.7;11.5;;
TRACY SANCERRE;FOURCHAMBAULT;;8.8;13.2;;
ARGENTAN;FLERS;;9.3;13.9;;
TRACY SANCERRE;NEVERS;;9.8;14.6;;
NEMOURS;NOGENT SUR VERNISSON;;9.9;14.9;;
BOURGES;SAINCAIZE;;11.4;17.0;;
SÉES;LE MANS;;14.1;21.1;;
ABBEVILLE;BOULOGNE;;14.5;21.8;;
LISIEUX;BAYEUX;;14.5;21.8;;
SURDON;LE MANS;;15.4;23.1;;
